METHOD	PATH	HANDLER	FILE:LINE	RESPONSE MODEL	SUMMARY
GET	/style_guidelines	get_all_style_guidelines	services/backend/api/endpoints/style_guidelines.py:16	List[schemas.StyleGuidelineBase]	-
GET	/style_guidelines/{guideline_id}	get_style_guideline	services/backend/api/endpoints/style_guidelines.py:25	schemas.StyleGuidelineBase	-
POST	/style_guidelines	create_style_guideline	services/backend/api/endpoints/style_guidelines.py:35	schemas.StyleGuidelineBase	-
DELETE	/style_guidelines/{id}	delete_style_guideline	services/backend/api/endpoints/style_guidelines.py:49	schemas.StyleGuidelineBase	-
PUT	/style_guidelines/{id}	update_style_guideline	services/backend/api/endpoints/style_guidelines.py:59	schemas.StyleGuidelineBase	-
GET	/styles	get_all_styles	services/backend/api/endpoints/styles.py:20	List[schemas.Style]	List beer style definitions
POST	/refresh-beer-styles	trigger_script	services/backend/api/endpoints/trigger_beer_styles_processing.py:35	BeerStyleRefreshResponse	Refresh cached beer style data
GET	/water-profiles	get_water_profiles	services/backend/api/endpoints/water_profiles.py:15	List[schemas.WaterProfile]	-
POST	/water-profiles	create_water_profile	services/backend/api/endpoints/water_profiles.py:44	schemas.WaterProfile	-
GET	/water-profiles/{profile_id}	get_water_profile	services/backend/api/endpoints/water_profiles.py:76	schemas.WaterProfile	-
PUT	/water-profiles/{profile_id}	update_water_profile	services/backend/api/endpoints/water_profiles.py:89	schemas.WaterProfile	-
DELETE	/water-profiles/{profile_id}	delete_water_profile	services/backend/api/endpoints/water_profiles.py:140	schemas.WaterProfile	-
POST	/water-profiles/{profile_id}/duplicate	duplicate_water_profile	services/backend/api/endpoints/water_profiles.py:162	schemas.WaterProfile	-
GET	/recipes/yeasts	get_all_recipe_yeasts	services/backend/api/endpoints/yeasts.py:16	List[schemas.RecipeYeast]	-
GET	/inventory/yeasts	get_all_inventory_yeasts	services/backend/api/endpoints/yeasts.py:25	List[schemas.InventoryYeast]	-
GET	/inventory/yeasts/{yeast_id}	get_inventory_yeast	services/backend/api/endpoints/yeasts.py:31	schemas.InventoryYeast	-
DELETE	/inventory/yeasts/{id}	delete_inventory_yeast	services/backend/api/endpoints/yeasts.py:39	schemas.InventoryYeast	-
